user_id,avg_messages_sent_per_week,avg_portal_connections_per_week
0,8.06,92.8
1,3.4,12.3
2,2.4,46.7
3,6.5,2.2
4,57.1,88.4
5,0.2,0.2
6,1.7,0.8
7,5.8,5.2
8,1.4,0.3
9,0.2,0.0
10,9.3,19.0
11,57.6,132.3
12,22.6,19.7
13,42.1,71.4
14,12.5,51.3
15,1.1,96.3
16,44.9,211.7
17,34.6,120.8
18,1.2,19.3
19,4.1,14.6
20,13.7,88.9
21,10.4,36.7
22,7.6,169.0
389,0.2,0.0
23,8.8,22.4
24,2.6,12.2
25,0.0,13.9
26,49.1,215.6
27,1.2,35.4
28,2.8,1.0
29,1.0,6.1
30,0.1,0.0
31,17.4,246.2
32,59.2,133.1
33,38.5,48.3
34,5.1,15.0
35,26.0,62.9
36,2.0,17.1
37,10.8,8.6
38,0.0,0.0
39,0.2,0.0
40,0.0,47.0
41,14.7,6.4
42,28.2,125.3
43,7.2,30.1
44,0.6,0.7
45,10.9,12.8
46,1.0,44.7
47,12.3,21.3
48,1.2,12.4
49,7.6,34.4
50,13.9,106.7
51,8.9975,211.6
52,11.4,15.9
53,7.7,353.9
54,12.9,153.2
55,20.3,14.6
56,8.7,41.2
57,55.9,37.0
58,19.2,67.0
59,6.3,4.1
60,9.0,48.4
61,1.2,4.4
62,4.1,5.7
63,9.9,30.2
64,10.6,31.0
65,7.9,34.1
66,31.2,20.6
67,0.1,0.0
68,0.7,0.1
69,8.4,125.0
70,21.7,37.6
71,0.0,6.0
72,19.1,17.9
73,0.1,0.0
74,0.0,79.0
75,0.4,0.2
76,6.7,3.1
77,14.9075,389.2
78,5.5,67.3
79,9.3,36.8
80,17.9,118.7
81,13.8,79.2
82,5.0,13.7
83,9.0,48.2
84,1.5,19.6
85,11.9,70.5
86,19.5,62.9
87,1.9,9.1
88,37.4,48.4
89,8.3,3.3
90,1.0,11.5
91,8.0,36.4
92,0.0,68.9
93,3.5,28.1
94,4.5,14.3
95,4.8,17.3
96,7.0,7.5
97,9.8,32.9
98,9.2,34.9
99,42.0,253.6
100,1.1,2.5
101,6.0,41.8
102,7.2,37.8
103,3.7,20.2
104,1.0,2.1
105,7.4,17.8
106,6.2,114.8
107,6.7,24.7
108,15.7,17.6
109,22.0,50.7
110,10.3,9.8
111,6.8,24.8
112,19.4,38.3
113,1.7,3.5
114,15.2,9.4
115,1.6,3.4
116,0.7,4.8
117,6.0,62.1
118,2.5,4.6
119,2.3,30.8
120,55.8,97.7
121,43.9,26.7
122,16.1,64.8
123,9.2125,405.1
124,0.0,63.1
125,7.7,17.3
126,8.375,313.3
127,22.0,56.0
128,16.4,22.0
129,0.1,0.0
130,37.5,255.4
131,0.1,0.0
132,2.2,23.2
133,1.3,94.8
134,7.4,8.4
135,9.4,18.2
137,0.3,0.0
138,12.9,13.4
139,0.6,0.2
140,1.3,57.5
141,6.1,12.0
142,2.4,14.9
143,21.8,98.0
144,14.3,51.4
145,1.0,11.6
146,22.0,126.5
147,11.7,297.0
148,0.2,0.0
149,13.0,19.6
150,5.7,7.3
151,6.5,6.1
152,36.6,139.8
153,9.7,38.2
154,2.2,9.5
155,6.8,40.0
156,3.2,19.0
157,1.1,12.7
158,16.17,243.6
159,12.1,26.1
160,7.8,41.6
161,0.0,5.6
162,3.8,20.7
163,0.9,16.5
164,2.2,10.9
165,0.2,0.0
166,2.6,257.6
167,1.1,13.8
168,15.9,59.4
169,3.7,36.8
170,1.0,3.2
171,15.1,69.9
172,0.0,3.7
173,0.0,4.7
174,19.7,40.3
175,1.4,0.5
176,12.1,26.2
177,14.945,157.5
178,30.2,43.4
179,40.3,145.9
180,1.0,19.5
181,4.6,11.8
182,2.4,17.8
183,30.0,48.2
184,22.8,177.1
185,0.0,0.0
186,42.575,353.8
187,0.0,0.3
188,0.0,12.8
189,0.0,65.4
190,11.6,21.2
191,18.9,49.0
192,16.1,8.2
193,26.4,21.6
194,2.9,0.8
195,4.6,19.7
196,22.4,86.4
197,0.5,0.8
198,0.1,0.0
199,43.6,192.2
200,0.0,0.0
201,29.1,55.2
202,0.9,9.4
203,4.8,27.2
204,3.4,20.8
205,16.5,371.7
206,36.0,186.5
207,1.4,2.6
208,20.5,20.0
209,0.1,0.0
210,0.2,0.1
211,18.4,20.3
212,18.5,83.3
213,24.1,57.0
214,0.0,4.4
215,8.6,3.1
216,3.4,1.8
217,35.3,26.8
218,9.1,107.9
219,1.2,23.8
220,9.4,53.6
221,5.7,45.4
222,0.1,0.0
223,11.47,140.7
224,16.5,403.3
225,14.1,133.2
226,16.1,68.4
227,12.1,83.0
228,2.5,243.2
229,7.3,18.7
230,10.7,78.1
231,17.3,72.0
232,6.1,29.6
233,0.0,8.3
234,0.1,0.0
235,5.6,4.1
236,0.0,8.5
237,8.64,170.7
238,4.5,3.8
239,5.7,34.2
240,4.6,37.8
241,0.0,31.6
242,19.4,82.5
243,5.0,40.2
244,0.0,20.7
245,1.2,37.5
246,28.8,151.0
247,5.2,27.5
248,2.4,66.4
249,0.0,2.4
250,0.0,6.4
251,9.5,18.0
252,12.8,8.8
253,0.3,0.0
254,10.8,66.6
255,0.2,0.0
256,45.8,29.6
257,26.8,54.2
258,28.3,71.9
259,20.4,9.0
260,9.0,35.2
261,0.4,0.0
262,8.7,11.9
263,1.1,123.5
264,9.9,73.0
265,0.0,22.9
266,1.5,1.0
267,14.0,18.6
268,0.3,0.0
269,0.1,0.0
270,1.4,1.0
271,0.2,0.0
272,0.1,0.0
273,0.7,1.0
274,16.995,279.0
275,7.6,21.8
276,17.3,46.9
277,8.5,19.4
278,7.4,27.3
279,11.005,286.3
280,0.3,0.0
281,1.2,34.7
282,11.7,35.4
283,10.7,393.7
284,8.0,5.0
285,6.5,109.5
286,27.0,91.1
287,0.0,20.9
288,4.6,84.8
289,36.5,15.9
290,18.6,109.4
291,6.5,1.6
292,20.2,18.3
293,1.0,28.2
294,16.7,7.5
295,0.1,0.0
296,1.3,98.6
297,3.9,45.3
298,4.8,4.4
299,1.1,14.6
300,17.2,421.2
301,15.6,23.1
302,4.3,11.4
303,3.2,1.0
304,21.8,74.4
305,3.2,20.6
306,0.2,0.0
307,2.0,34.9
308,12.6,139.4
309,8.04,652.8
310,8.5,167.2
311,0.2,0.0
312,15.7,70.5
313,5.7,3.2
314,17.6,64.3
315,2.2,2.0
316,0.1,0.0
317,40.7,73.0
318,5.3,39.8
319,1.0,3.3
320,14.1,65.9
321,8.8,63.3
322,12.0,51.4
323,1.3,0.5
324,1.0,41.9
325,8.0,44.1
326,0.8,18.7
327,0.2,0.0
328,4.0,19.8
329,2.5,22.5
330,28.4,32.1
331,9.735,436.0
332,6.6,137.6
333,0.1,0.0
334,11.9,43.9
335,0.0,3.7
336,1.0,0.5
337,7.8,21.6
338,8.6,7.1
339,6.2,22.1
340,0.0,10.6
341,1.2,39.4
342,3.8,17.1
343,1.4,4.4
344,13.9,81.6
345,3.6,47.6
346,14.4,36.0
347,1.2,10.2
348,2.0,22.1
349,14.4,12.5
350,4.9,16.0
351,11.6,4.0
352,4.3,19.5
353,9.4,97.2
354,11.8,42.7
355,38.9,28.6
356,10.8,44.8
357,0.0,38.6
358,3.4,30.5
359,11.2,19.6
360,1.0,21.3
361,6.5,2.8
362,27.6,54.9
363,58.1,71.5
364,23.4,108.9
365,2.5,74.2
366,42.0,143.5
367,2.2,9.1
368,16.1,36.2
369,0.3,0.0
370,0.0,0.0
371,18.8,222.4
372,3.4,0.7
373,13.6,58.6
374,41.2,38.1
375,9.9,20.1
377,0.0,2.6
378,10.1,194.0
379,43.2,124.4
380,19.2,144.3
381,6.4,69.8
382,5.6,36.1
383,4.1,30.8
384,18.4,29.9
385,5.4,30.0
386,26.8,81.4
387,26.0,98.2
388,9.1,1.2
390,5.1,77.5
391,19.2,24.0
392,27.3,53.5
393,8.33,57.5
394,6.6,22.4
395,8.3,27.2
396,23.6,108.2
397,55.4,160.4
398,0.1,0.0
399,1.1,69.7
400,0.1,0.0
401,8.4375,124.7
402,0.9,12.0
403,0.6,0.2
404,2.1,26.6
405,0.1,0.6
406,9.9,48.0
407,0.0,39.2
408,5.1,21.8
409,16.9,65.3
410,30.7,79.2
411,44.5,62.0
412,18.5,33.0
413,16.72,86.4
414,13.9,62.3
415,2.3,2.0
416,8.6,7.3
417,0.0,9.7
418,10.4,11.0
419,28.1,71.4
420,2.3,7.7
421,0.5,0.2
422,0.4,0.1
423,5.8,7.2
424,7.6375,60.0
425,10.6,71.1
426,0.7,0.3
427,33.6,97.4
428,0.2,0.0
429,0.0,96.8
430,0.0,0.0
431,33.0,68.8
432,4.6,30.6
433,9.735,166.3
434,6.0,63.5
435,30.3,17.0
436,36.1,23.2
437,10.6,17.9
438,3.6,12.1
439,1.0,4.9
440,21.1,10.8
441,14.7,9.5
442,8.0325,187.9
443,20.5,7.4
444,43.6,223.0
445,0.8,17.5
446,5.3,3.0
447,21.7,22.1
448,1.1,2.5
449,1.9,0.9
450,5.2,52.8
451,24.0975,226.9
452,15.1,22.4
453,16.5,57.6
454,2.2,2.0
455,0.8,2.5
456,2.4,59.6
457,41.8,80.5
458,1.0,23.4
459,1.4,1.7
460,40.0,47.2
461,5.7,97.3
462,30.6525,911.0
463,10.5,147.3
464,0.0,17.3
465,3.1,4.1
466,15.6,139.8
467,22.8,172.8
468,11.055,248.5
469,5.8,44.6
470,0.1,0.0
471,3.2,2.1
472,13.0,13.9
473,34.6,275.8
474,7.8,11.1
475,10.1,88.5
476,6.7,10.6
477,13.9,4.4
478,7.8,62.3
479,4.6,43.7
480,0.2,0.0
481,3.1,15.1
482,0.4,0.2
483,4.9,13.9
484,6.7,72.2
485,23.5,34.5
486,7.2,11.7
487,3.6,31.6
488,1.3,0.5
489,5.7,1.8
490,4.2,5.4
491,2.4,165.7
492,9.4,125.8
493,15.6,57.0
494,5.0,5.8
495,4.2,35.6
496,0.1,0.0
497,42.6,81.0
498,37.2,92.8
499,10.4,262.8
500,23.8,41.4
501,0.0,8.0
502,34.1,16.6
503,0.8,10.3
504,9.1,5.6
505,1.3,1.1
506,5.3,21.5
507,0.4,0.3
508,24.7,118.2
509,1.2,17.9
510,1.2,42.6
511,18.2,148.3
512,0.3,0.1
513,5.9,3.2
514,11.5,9.5
515,8.3,2.7
516,0.2,0.0
517,8.8,49.3
518,9.5,12.0
519,0.1,0.0
520,33.0,32.0
521,22.1,12.5
522,0.8,1.0
523,6.6,5.4
524,6.0,3.5
525,7.1,30.2
526,18.9,71.4
527,0.6,1.4
528,29.7,36.2
529,8.2,46.2
530,14.4,65.2
531,26.7,19.8
532,5.8,34.2
533,19.8,19.5
534,9.2,4.0
535,11.2,7.2
536,2.1,41.8
537,4.1,62.1
538,16.3,63.8
539,9.4,6.5
540,4.3,5.3
541,1.2,26.4
542,10.8,34.3
543,0.1,0.0
544,28.5,4.3
545,0.2,0.1
546,26.5,41.4
547,0.0,0.0
548,47.0,44.2
549,0.0,111.3
550,1.3,23.8
551,0.3,0.0
552,0.0,0.0
553,2.2,3.0
554,0.4,0.4
555,0.0,2.1
556,5.0,58.2
557,29.9,32.6
558,4.8,24.7
559,8.0,5.7
560,6.3,5.9
561,2.4,72.4
562,14.6,13.4
563,35.5,70.2
564,9.2,12.6
565,1.2,22.6
566,3.6,4.7
567,12.0,13.3
568,8.0,85.7
569,3.4,11.8
570,7.3,23.7
571,20.2,98.6
572,24.3,13.3
573,7.2,60.1
574,7.6,5.4
575,49.6,193.9
576,2.3,0.7
577,0.1,0.0
578,10.8,50.4
579,1.0,15.8
580,5.2,134.4
581,0.4,0.4
582,0.5,0.6
583,19.2,103.9
584,4.9,4.5
585,5.1,17.3
586,7.3,81.4
587,20.4,193.2
588,9.4,262.0
589,51.2,147.2
590,7.75,52.1
591,0.6,3.1
592,8.0,156.9
593,12.285,141.6
594,5.6,21.7
595,5.3,3.4
596,1.1,0.2
597,2.0,66.9
598,9.8825,322.3
599,57.6,193.9
600,10.1,53.8
601,3.8,47.9
602,1.6,39.6
603,0.0,0.3
604,24.7,233.3
605,1.8,24.8
606,2.5,11.8
607,3.1,2.2
608,0.1,0.0
609,2.7,7.9
610,0.1,0.0
611,5.2,29.5
612,8.9375,203.4
613,22.4,53.3
614,19.7,38.4
615,16.3,5.6
616,0.1,0.0
617,26.4,170.7
618,22.9,12.3
619,2.6,23.8
620,5.5,2.0
621,15.7,100.0
622,1.3,1.5
623,0.6,1.2
624,12.5625,720.5
625,7.6,14.3
626,31.3,75.6
627,3.1,8.9
628,2.7,3.5
629,1.2,10.1
630,4.6,86.9
631,7.8,36.0
632,1.8,19.8
633,21.1,143.4
634,11.7,138.9
635,13.9,10.4
636,11.5,11.9
637,2.1,7.7
638,12.2,7.1
639,5.9,35.8
640,0.1,0.1
641,5.2,6.7
642,53.0,46.4
643,1.4,24.0
644,27.3,307.0
645,2.6,2.9
646,12.2,10.7
647,4.6,22.4
648,23.4,83.7
649,15.4,9.1
650,2.2,0.5
651,6.0,12.7
652,3.1,29.1
653,2.3,20.0
654,9.4,73.1
655,9.735,146.7
656,7.0,14.5
657,7.9,18.0
658,4.2,47.3
659,5.5,10.6
660,0.9,18.6
661,39.6,9.3
662,42.9,126.0
663,24.1,179.1
664,17.2,106.0
665,2.0,14.2
666,0.7,7.4
667,14.6,30.0
668,2.0,19.8
669,17.1,45.4
670,0.9,22.9
671,52.5,213.8
672,0.2,0.2
673,0.9,64.7
674,0.1,0.1
675,7.1,99.2
676,0.5,0.1
677,0.5,0.2
678,41.3,177.1
679,10.8,114.8
680,1.2,14.7
681,3.4,45.4
682,11.7,41.8
683,9.9,270.3
684,5.0,38.6
685,0.1,0.0
686,0.0,6.1
687,13.58,156.2
688,4.2,4.1
689,1.9,17.0
690,12.6,51.2
691,21.6,31.4
692,0.3,0.0
693,0.0,2.6
694,37.0,87.0
695,6.0,11.4
696,7.0,12.6
697,43.7,114.0
698,0.0,16.4
699,1.3,25.4
700,1.4,2.9
701,9.9,41.4
702,5.2,77.9
703,5.0,26.3
704,0.0,27.4
705,0.3,0.1
706,4.7,28.6
707,6.1,151.6
708,9.8,62.1
709,15.8,75.6
710,0.7,9.7
711,0.3,2.4
712,9.6,35.2
713,21.6,24.4
714,6.8,38.1
715,10.7,116.6
716,1.8,4.3
717,35.3,140.7
718,11.2,1.9
719,0.0,40.7
720,0.8,0.8
721,4.0,23.9
722,16.8,48.6
723,19.2,30.1
724,11.25,124.3
725,18.6,7.0
726,2.5,4.2
727,8.3,49.3
728,8.1,101.9
729,0.1,0.0
730,7.5225,210.0
731,5.2,70.0
732,1.1,10.0
733,9.9,41.8
734,3.1,4.0
735,7.98,118.8
736,6.2,13.3
737,0.1,0.0
738,1.4,5.9
739,2.1,20.2
740,6.4,17.0
741,5.1,18.6
742,19.8,44.2
743,14.6,5.9
744,0.2,0.1
745,2.2,1.9
746,17.6,73.0
747,26.9,97.7
748,0.1,0.0
749,8.6925,234.9
750,0.2,0.1
751,1.1,30.7
752,41.6,238.3
753,2.2,7.9
754,0.0,0.1
755,13.0,22.6
756,7.9,9.7
757,4.2,12.1
758,0.1,0.0
759,0.1,0.7
760,2.4,7.7
761,0.8,0.3
762,4.6,67.9
763,5.3,9.4
764,3.7,14.0
765,7.0,9.3
766,12.22,169.9
767,14.5,238.6
768,5.4,9.3
769,1.3,1.4
770,0.2,0.0
771,22.0,91.1
772,5.2,2.8
773,20.8,32.4
774,0.0,7.0
775,12.8,16.7
776,15.0,93.0
777,1.1,1.2
778,16.6,164.8
779,9.0,37.1
780,22.3,77.0
781,5.5,43.3
782,2.4,72.8
783,10.27,170.7
784,4.1,14.1
785,0.3,0.8
786,25.8,13.3
787,15.0,38.0
788,3.4,2.2
789,8.97,69.1
790,30.3,47.0
791,10.23,228.8
792,26.5,117.3
793,45.4,144.5
794,3.6,2.7
795,0.0,7.6
796,1.4,1.0
797,31.4,81.1
798,0.2,0.1
799,7.2,10.9
800,1.5,8.3
801,0.0,7.0
802,9.9,243.2
803,33.3,121.4
804,2.8,3.9
805,0.5,6.9
806,1.6,6.2
807,3.6,5.4
808,2.3,50.4
809,0.1,0.0
810,22.3,12.7
811,0.3,0.1
812,0.1,0.0
813,0.1,0.0
814,30.7,190.2
815,0.0,0.0
816,1.0,2.2
817,1.6,1.4
818,0.2,0.0
819,2.4,72.8
820,2.4,1.2
821,1.7,15.6
822,17.1,57.8
823,0.2,0.0
824,22.8,50.2
825,7.92,242.2
826,11.5375,288.0
827,7.7,80.6
828,0.4,0.1
829,10.6,112.5
830,1.2,13.4
831,4.2,148.9
832,0.5,7.2
833,35.4,71.3
834,0.6,6.2
835,0.1,0.0
836,11.0,50.0
837,0.7,0.2
838,4.1,29.2
839,2.5,6.0
840,6.0,66.0
841,0.0,178.4
842,7.7,14.0
843,0.8,0.3
844,11.5,103.2
845,7.8,45.6
846,6.9,141.7
847,13.0,8.2
848,37.6,43.4
849,17.8,23.5
850,3.1,18.9
851,0.3,0.8
852,16.2,9.3
853,2.5,60.1
854,0.0,0.2
855,8.6,28.8
856,14.0,28.6
857,0.1,0.0
858,7.8,36.3
859,4.1,26.7
860,0.0,0.1
861,0.2,0.3
862,9.735,114.7
863,0.0,38.6
864,0.8,10.8
865,7.8,44.2
866,6.8,33.1
867,22.1,162.1
868,3.8,17.3
869,2.8,8.3
870,12.2,55.1
871,0.1,0.0
872,2.4,26.6
873,31.8,18.6
874,53.2,101.9
875,30.8,107.6
876,2.9,1.9
